date,description,debit,credit
2025-01-11,   TO TRANSFER-UPI/DR/************/UPILITE--,1000, 
2025-01-12,   BY TRANSFER-INB pgr--, ,20000
2025-01-12,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,16979.89, 
2025-01-13,   TO TRANSFER-UPI/DR/************/District/UTIB/district50/Payvi--,367.2, 
2025-01-13,   BY TRANSFER-INB pgr--, ,15000
2025-01-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AKSHATH PAID BACK,,10723.77
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,4000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,7000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,3000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,6000.0,
2025-03-01,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2025-03-01,ACH D- IDFC FIRST BANK-**********,13542.0,
2025-04-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-EXPENSES,5000.0,
2025-04-01,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,2216.0,
2025-04-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BPEMI,,11500.0
2025-06-01,CHQ PAID-TRANSFER IN-SBI LIFE INSURANCE,50000.0,
2025-06-01,UPI-TEJAS M A-**********@IBL-CNRB*******-************-GYM FEE,500.0,
2025-07-01,EMI ********* CHQ S************* *************,10482.0,
2025-08-01,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,,2750.0
2025-09-01,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,5706.0
2025-09-01,UPI-CREDCLUB-CREDCLUB@ICICI-ICIC0DC0099-************-PAYMENT ON CRED,52116.0,
2025-01-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1809.83,
2025-01-17,UPI-AISHWARYA K-**********@PTAXIS-CNRB*******-************-SENT USING PAYTM U,,500.0
2025-01-17,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-UPI,,4000.0
2025-01-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2025-01-18,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2025-01-18,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-MAYUR PAID PARTIAL,,3181.0
2025-01-19,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,2094.0,
2025-01-20,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-RRR*********TMBZTQ,,2196.0
2025-01-25,UPI-ANAND P RAO-Q*********@YBL-YESB0YBLUPI-************-DOCTOR FEES,1200.0,
2025-01-28,UPI-DMART READY-DMARTREADY.********@HDFCBANK-HDFC*******-************-DMART,3220.0,
2025-01-28,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-DAD PAID D MART,,3200.0
2025-01-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***************** GTS SALARY PAY JAN25,,147369.0
2025-01-30,OCTDEC24 INSTAALERTCHG 11 SMS ******-MIR*************,2.6,
2024-02-04,DEBIT CARD ANNUAL FEE-MAR-2024 ******-MIR*************,243.05,
2024-03-04,ACH D- TPCAPFRST IDFC FIRST-**********,13542.0,
2024-03-04,UPI-AMAZON INDIA-AMAZON@YAPL-YESB0APLUPI-************-YOU ARE PAYING FOR,2189.0,
2024-03-04,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-BRO PAID BACK,,14000.0
2024-03-04,UPI-CAPITALFLOAT-AMZNLPA-NUQCORICOX@APL-UTIB*******-************-YOU ARE PAYING FOR,3798.0,
2024-05-04,UPI-POLA SAI SATHVIK-POLASATVIK-4@OKHDFCBANK-HDFC*******-************-SERVICE,2690.0,
2024-05-04,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1681.0
2024-06-04,UPI-PRABHA EYE CLINIC AN-PRABHAEYECLINICANDRE.********@HDFCBANK-HDFC*******-************-HOSPITAL FEE,500.0,
2024-06-04,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UTK BRO SPLIT,,2000.0
2024-06-04,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,50000.0,
2024-07-04,EMI ********* CHQ S************* *************,10482.0,
2024-07-04,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-UPI,3596.0,
2024-10-04,UPI-AXIS-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,24147.0,
2024-10-04,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-RRRKJTCC2RYWYAPVGE,,1099.0
2024-12-04,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-RRRKJTCC2RYWYAPVGE,,659.0
2024-04-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PAYTM-YESB0PTMUPI-************-UPI,1781.51,
2024-04-15,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-UPI,3008.0,
2024-04-16,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,4000.0,
2024-04-16,UPI-EKART-EKART@YBL-YESB0YBLUPI-************-PAYMENT FOR MYSC10,890.0,
2024-04-16,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-VAISHNAVI MYNTRA,,890.0
2024-04-17,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-RRRZBU32SM1T0AEO1Y,,815.0
2024-04-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-04-20,UPI-AMAZON INDIA-AMAZON@RAPL-RATN000RAPL-************-YOU ARE PAYING FOR,1424.0,
2024-04-20,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,5000.0,
2024-04-23,NEFT CR-UTIB*******-THE NEW INDIA ASSURANCE COMPANY LIM-MR P SAI DEEKSHITH-AXISCN**********,,4720.0
2024-04-26,UPI-LIFE INSURANCE CORPO-LIFEINCORPOFINDIA@HDFCBANK-HDFC*******-************-LIC PREMIUM,5047.0,
2024-04-26,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-CREDIT CARD SPLIT,,1100.0
2024-04-27,NEFT CR-UTIB*******-THE NEW INDIA ASSURANCE COMPANY LIM-MR P SAI DEEKSHITH-AXISCN**********,,500.0
2024-04-28,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-UPI,1268.0,
2024-04-29,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-UPI,1699.0,
2024-04-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY APRIL2024,,130315.0
2024-04-30,UPI-P MADHAVI-**********@YBL-UBIN*******-************-MONTHLY HOUSE EXPE,5000.0,
2024-04-30,UPI-POLA SAI SATHVIK-**********@ICICI-ICIC*******-************-UPI,15000.0,
2024-04-30,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,75000.0,
2024-03-05,ACH D- TPCAPFRST IDFC FIRST-**********,13542.0,
2024-07-05,EMI ********* CHQ S************* *************,10482.0,
2024-08-05,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-UPI,1219.0,
2024-09-05,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1781.0
2024-11-05,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,5000.0,
2024-05-15,UPI-T L MAHESH-TLMAHESH1@AXL-UBIN*******-************-PAYMENT FROM PHONE,25000.0,
2024-05-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PAYTM-YESB0PTMUPI-************-UPI,1681.5,
2024-05-16,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-05-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-05-19,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-UPI,1699.0,
2024-05-19,UPI-AMAZON INDIA-AMAZON@YAPL-YESB0APLUPI-************-YOU ARE PAYING FOR,1199.0,
2024-05-21,UPI-WWW MYNTRA COM-MYNTRA2.PAYU@HDFCBANK-HDFC*******-************-RRRQKO2JJKYHHXMRIG,,1679.0
2024-05-21,ATW-******XXXXXX8525-P1ENBG20-BANGALORE-URB,20000.0,
2024-05-21,ATW-******XXXXXX8525-P1ENBG20-BANGALORE-URB,10000.0,
2024-05-24,JANMAR24 INSTAALERTCHG 9 SMS ******-MIR*************,2.12,
2024-05-28,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-UPI,1478.0,
2024-05-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY MAY2024,,130316.0
2024-05-30,REV-UPI-**************-DEEKSHITHSAI39@OKHDFCBANK-************-DECK OF BREWS,,1150.0
2024-05-30,UPI-PRIYANSHU KHULLAR-**********@APL-ICIC*******-************-DECK OF BREWS,1150.0,
2024-05-30,UPI-PRIYANSHU KHULLAR-PRIYANSHUKHULLAR21-2@OKICICI-HDFC*******-************-DECK OF BREWS,1150.0,
2024-05-30,UPI-MAHANTESH DODDAMAN-PAYTMQR************HNRG49CT6NUS@PAYTM-YESB0PTMUPI-************-AUTO,400.0,
2024-05-31,UPI-MANJUNATHA-PAYTMQR*************CBI9X663R44@PAYTM-YESB0PTMUPI-************-AUTO,415.0,
2024-01-06,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,10000.0,
2024-02-06,UPI-PRIYANSHU KHULLAR-PRIYANSHUKHULLAR21-2@OKICICI-HDFC*******-************-HAIKYUU,235.0,
2024-03-06,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-03-06,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BEMI,,10000.0
2024-07-06,EMI ********* CHQ S************* *************,10482.0,
2024-07-06,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1781.0
2024-09-06,UPI-BIG TREE ENTERTAINME-BOOKMYSHOW1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-UPI,1880.1,
2024-10-06,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-11-06,UPI-AXIS-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,7599.0,
2024-06-15,APRAPR24 INSTAALERTCHG 3 SMS ******-MIR*************,0.7,
2024-06-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PAYTM-YESB0PTMUPI-************-UPI,1681.5,
2024-06-16,UPI-T L MAHESH-TLMAHESH1@AXL-UBIN*******-************-PAYMENT FROM PHONE,25000.0,
2024-06-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-06-21,MAYMAY24 INSTAALERTCHG 3 SMS ******-MIR*************,0.7,
2024-06-24,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-06-24,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-06-28,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY JUN2024,,130316.0
2024-06-28,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MONTHLY EXPENSES,10000.0,
2024-06-30,UPI-POLA SAI SATHVIK-POLASATVIK-4@OKHDFCBANK-HDFC*******-************-SUNIL MAMA,12000.0,
2024-01-07,INTEREST PAID TILL 30-JUN-2024,,887.0
2024-02-07,UPI-RITU KHATRI-Q*********@YBL-YESB0YBLUPI-************-BAT,3650.0,
2024-03-07,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-03-07,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-SUNIL MAMA PAID,,12000.0
2024-05-07,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1781.0
2024-07-07,EMI ********* CHQ S************* *************,10482.0,
2024-09-07,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-BPE,,10480.0
2024-11-07,UPI-VAAYU FOODS-BHARATPE.**********@FBPE-FDRL*******-************-PAY TO VAAYU FOODS,461.0,
2024-12-07,UPI-PLAYO-PLAYOPGONLINE@YBL-YESB0YBLUPI-************-PLAYO ORDER ID NCR,1837.48,
2024-07-14,UPI-AXIS-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,1731.0,
2024-07-14,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-MAYUR FLIGHT TICKE,,14046.0
2024-07-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PAYTM-YESB0PTMUPI-************-UPI,1681.5,
2024-07-15,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AMAL FLIGHT TICKET,,14046.0
2024-07-16,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-07-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-07-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-07-18,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-INTERNAL TRANSFER,5000.0,
2024-07-19,JUNJUN24 INSTAALERTCHG 3 SMS ******-MIR*************,0.7,
2024-07-19,UPI-REDBUS INDIA PRIVATE-REDBUS1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-UPI,5509.35,
2024-07-22,UPI-AJIO-AJIO-PAYTM001@PAYTM-YESB0PTMUPI-************-UPI,5382.79,
2024-07-26,UPI-JAYMOL POULOSE-AANSHOLIDAYS-1@OKHDFCBANK-FDRL*******-************-CAB ADVANCE,1000.0,
2024-07-27,UPI-SWIGGY LIMITED-SWIGGYINSTAMART1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-TRAVEL STUFF,499.0,
2024-07-27,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-MUNNAR EXPENSES,10000.0,
2024-07-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY JULY2024,,132827.0
2024-07-31,UPI-AKHIL GOPAL-AKHILGOPAL6@OKICICI-FDRL*******-************-CAB,11000.0,
2024-03-08,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-04-08,UPI-AXIS-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,57862.0,
2024-05-08,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-BPEM,,10000.0
2024-06-08,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-06-08,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,10000.0,
2024-07-08,EMI ********* CHQ S************* *************,10482.0,
2024-07-08,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1781.0
2024-10-08,UPI-JATIN MITTAL-**********@PTHDFC-HDFC*******-************-NA,,222.0
2024-08-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1681.5,
2024-08-17,UPI-PVR INOX VEGA CITY  -PAYENT0609@PAYTM-YESB0PTMUPI-************-MOVIE,1218.12,
2024-08-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-08-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-08-17,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-08-19,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-INTERNAL TRANSFER,5000.0,
2024-08-28,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-08-28,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,10000.0,
2024-08-28,ACH C- LIFE INSURANCE CORPO-********,,90.0
2024-08-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY AUG2024,,130316.0
2024-03-09,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-06-09,UPI-KHYRUL ISLAM-JA*******JAMIL.COM@AXL-HDFC*******-************-UPI,170.0,
2024-07-09,EMI ********* CHQ S************* *************,10482.0,
2024-08-09,UPI-INTERGLOBE AVIATION -INDIGO.RZP@ICICI-ICIC0DC0099-************-INTERGLOBE AVIATIO,27352.0,
2024-10-09,UPI-CRED-CRED.CLUB@AXISB-UTIB*******-************-PAYMENT ON CRED,4119.0,
2024-10-09,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,10000.0,
2024-11-09,UPI-RAZORPAY-PG.RAZORPAY@AXISBANK-UTIB*******-************-INDIGOREFUNDOUERCG,,27352.0
2024-09-14,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-SELF TRANSFER,5000.0,
2024-09-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1681.5,
2024-09-16,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,9000.0,
2024-09-17,OCTDEC23 INSTAALERTREC 3 SMS ******-MIR*************,0.7,
2024-09-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-09-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-09-17,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,10000.0,
2024-09-18,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-09-20,INSTAALERT CHGS JUL24 SMS(2) ******-MIR*************,0.48,
2024-09-21,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-09-21,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,10000.0,
2024-09-26,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1681.0
2024-09-27,UPI-PRIYANSHU KHULLAR-PRIYANSHUKHULLAR21-2@OKICICI-HDFC*******-************-PARTY,10177.0,
2024-09-29,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-UPI,,10177.0
2024-09-29,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-OOTY EXPENSES,,10000.0
2024-09-29,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AKSHATH FLIGHT,,20393.0
2024-09-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY SEP2024,,147367.0
2024-01-10,INTEREST PAID TILL 30-SEP-2024,,1203.0
2024-01-10,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-SELF TRANSFER,5000.0,
2024-03-10,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-04-10,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,45000.0,
2024-05-10,UPI-ANAND P RAO-Q*********@YBL-YESB0YBLUPI-************-DOCTOR,1100.0,
2024-05-10,POS ******XXXXXX8525 HEX ENTERTAINMEN,3200.0,
2024-06-10,UPI-BATHINDA JUNCTION  K-Q********@YBL-YESB0YBLUPI-************-FOOD,1422.0,
2024-06-10,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,,45000.0
2024-07-10,EMI ********* CHQ S************* *************,10482.0,
2024-07-10,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB*******-************-UPI,8894.0,
2024-07-10,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-BROE,,10000.0
2024-08-10,UPI-HIMANSHU SARASWAT-HIMANSHU006H@OKHDFCBANK-HDFC*******-************-UPI,200.0,
2024-08-10,POS ******XXXXXX8525 FLIPKART INTERNE,22482.0,
2024-09-10,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN***********,,1681.0
2024-10-10,UPI-GOVINDA RAJULU  POLA-3SPACKS@OKSBI-SBIN*******-************-UPI,75000.0,
2024-10-10,UPI-POLA SAI SATHVIK-POLASATVIK-4@OKHDFCBANK-HDFC*******-************-UPI,17000.0,
2024-11-10,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-ASHISH LASER TAG,,1155.0
2024-11-10,UPI-ASHISH PRATAP SINGH-ASHISHSONUYADAV123@OKICICI-ICIC*******-************-TORQ,1180.0,
2024-11-10,UPI-PRIYANSHU KHULLAR-PRIYANSHUKHULLAR21-2@OKICICI-HDFC*******-************-DINNER,1154.0,
2024-12-10,UPI-PANKAJ DUDEJA-Q*********@YBL-YESB0YBLUPI-************-PUNJABI SWAG,1300.0,
2024-12-10,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-SELF TRANSFER,5000.0,
2024-10-14,NEFT CR-UTIB*******-THE NEW INDIA ASSURANCE COMPANY LIMITED-MR P SAI DEEKSHITH-AXISCN**********,,3050.0
2024-10-15,UPI-ACT  BROADBAND-PAYTM-ACTBAN4@PTYBL-YESB0PTMUPI-************-UPI,1681.5,
2024-10-16,UPI-T L MAHESH-TLMAHESH@AXL-KVBL*******-************-PAYMENT FROM PHONE,25000.0,
2024-10-17,UPI-BILLIONBRAINS GARAGE-YESPAY.BTTSOA2L3C8HE5@YESBANKLTD-YESB0YESUPI-************-ACCOUNT VERIFICATI,1.0,
2024-10-17,UPI-ICCLGROWW-GROWW-BSE.GROWWPAY@HDFCBANK-HDFC*******-************-PAYMENT REQUEST FO,4000.0,
2024-10-17,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-PAYMENT REQUEST FO,5000.0,
2024-10-17,UPI-P MADHAVI-**********@AXL-UBIN*******-************-PAYMENT FROM PHONE,5000.0,
2024-10-17,UPI-XXXXXX2219-KVBL*******-************-PAYMENT FROM PHONE,1500.0,
2024-10-19,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,20000.0,
2024-10-19,ATW-******XXXXXX8525-S1AWKX46-BANGALORE,10000.0,
2024-10-20,UPIRET-********-************,,1.0
2024-10-21,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,7000.0,
2024-10-21,UPI-IRCTC-PAYTRA1599@PTYBL-YESB0PTMUPI-************-UPI,432.7,
2024-10-22,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,5000.0,
2024-10-22,ACH D- INDIAN CLEARING CORP-HG9O7XCDV72W,3000.0,
2024-10-22,ACH D- INDIAN CLEARING CORP-XUCT329NCSDS,6000.0,
2024-10-22,ACH D- INDIAN CLEARING CORP-RX3J2WVMVIMA,5000.0,
2024-10-23,AUGAUG24 INSTAALERTCHG 3 SMS ******-MIR*************,0.7,
2024-10-24,UPI-NIKITA BARONIA-**********@HDFCBANK-HDFC*******-************-WATCG,,5555.0
2024-10-25,NEFT CR-UTIB*******-THE NEW INDIA ASSURANCE COMPANY LIMITED-MR P SAI DEEKSHITH-AXISCN**********,,1100.0
2024-10-29,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKSBI-SBIN*******-************-AMAL RESCHEDULE CH,,6838.0
2024-10-29,UPI-XXXXXX9519-SBIN*******-************-PAYMENT FROM PHONE,20000.0,
2024-10-30,NEFT CR-CITI*******-WM GLOBAL TECHNOLOGY SERVICES I P L-P SAI DEEKSHITH-CITIN*********** GTS SALARY PAY OCT2024,,154249.0
2024-10-30,UPI-MALLESH G M-Q*********@YBL-YESB0YBLUPI-************-DRIVING,2100.0,
2024-10-31,UPI-MAYUR R-MAYURRAMESH56@OKICICI-CNRB*******-************-UPI,,6838.0
2024-02-11,UPI-MYNTRA DESIGNS PRIVA-MYNTRA.PAYU@INDUS-INDB0MERCHA-************-UPI,2099.0,
2024-03-11,ACH D- IDFC FIRST BANK-**********,13542.0,
2024-04-11,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,6000.0,
2024-04-11,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,5000.0,
2024-04-11,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,3000.0,
2024-04-11,UPI-INDIAN CLEARING CORP-MUTUALFUNDS.ELEMENTS@ICICI-ICIC0DC0099-************-INDIAN CLEARING CO,4000.0,
2024-05-11,UPI-SWIGGY LIMITED-SWIGGYINSTAMART1ONLINE.GPAY@OKPAYAXIS-UTIB*******-************-UPI,1015.0,
2024-06-11,UPI-AMAZON PAY-AMAZONUPI@APL-UTIB*******-************-YOU ARE PAYING FOR,2478.0,
2024-06-11,UPI-SANTHOSH KUMAR-SANTHU9591AMMU-1@OKHDFCBANK-ESFB*******-************-UPI,700.0,
2024-06-11,UPI-P SAI DEEKSHITH-DEEKSHITHSAI39@OKICICI-SBIN*******-************-UPI,5000.0,
